"uniqueID","form","NUMBER","LABEL","ENGLISH","SC","V","K","TC","TG","SKIP","repeatability","REPEATABILITY.QUESTION","REPEATABILITY.SKIP","REPEATABILITY.NUMBER"
1000,"S0","123","ELIGIBILITY","MOSAAIC Eligibility Survey","MOSAAIC 资格问题","Bộ Câu Hỏi về Điều Kiện Tham Gia của MOSAAIC","MOSAAIC 자격 요건 질문","MOSAAIC 資格問題","Mga Katanungan sa Pagiging Kawalipikado ng MOSAAIC",NA,NA,NA,NA,NA
1001,"S0",NA,"ELG0.","Eligibility","资格","Điều Kiện Tham Gia","자격 요건","資格","Pagiging Kwalipikado",NA,NA,NA,NA,NA
1002,"S0",NA,"ELG0.1","WANT TO JOIN MOSAAIC?","想加入MOSAAIC吗？","MUỐN THAM GIA MOSAAIC?","MOSAAIC에 참여하고 싶으신가요?","想加入MOSAAIC嗎？","Nais ba ninyong sumali sa MOSAAIC?",NA,NA,NA,NA,NA
1003,"S0",NA,"ELG0.2","Answer the questions below to check your eligibility for the MOSAAIC study.","请回答以下问题以确认您是否符合参加MOSAAIC研究的资格。","Vui lòng trả lời các câu hỏi dưới đây để kiểm tra điều kiện tham gia nghiên cứu MOSAAIC của quý vị.","MOSAAIC 연구에 참여할 자격 요건을 확인하려면 아래 질문에 답하십시오.","請回答以下問題以確認您是否符合參加MOSAAIC研究的資格。","Sagutin ninyo ang mga tanong sa ibaba upang masuri ang inyong pagiging kwalipikado sa pagsali sa pananaliksik ng MOSAAIC.",NA,NA,NA,NA,NA
1004,"S0","1","ELG1.","Are you Asian, Asian American, Native Hawaiian, or Pacific Islander?","您是否是亚洲人、亚裔美国人、夏威夷原住民或太平洋岛民？","Quý vị có phải là người Châu Á, người Mỹ gốc Á, người Hawaii bản địa hay người dân đảo Thái Bình Dương không?","아시아인, 아시아계 미국인, 하와이 원주민 또는 태평양 섬 주민입니까?","您是亞洲人、亞裔美國人、夏威夷族或太平洋島民嗎？","Kayo ba’y Asian, Asian American, Native Hawaiian, o Pacific Islander?",NA,NA,NA,NA,NA
1005,"S0",NA,"ELG1.1","Yes","是","Có","예","是","Oo",NA,NA,NA,NA,NA
1006,"S0",NA,"ELG1.2","No","否","Không","아니요","否","Hindi",NA,NA,NA,NA,NA
1007,"S0","2","ELG2.","How old are you?","您的年龄？","Quý vị bao nhiêu tuổi?","현재 몇 살이십니까?","您今年幾歲？","Ilang taon na kayo?",NA,NA,NA,NA,NA
1008,"S0",NA,"ELG2.1","Age in years","岁","Tuổi tính theo năm","세","歲","Edad sa taon",NA,NA,NA,NA,NA
1009,"S0","3","ELG3.","Do you have plans to move away from this area in the next 5 years?","您是否计划在未来 5 年内搬离此地区？","Quý vị có kế hoạch dọn nhà đi khỏi khu vực này trong 5 năm tới không?","향후 5년 안에 이 지역을 떠날 계획이 있습니까?","您在未來 5 年內會搬離此地區嗎？","Mayroon ba kayong plano na lumipat mula sa lugar na kasalukuyan ninyong tinitirhan sa loob ng susunod na limang taon?",NA,NA,NA,NA,NA
